claim_id,final_verdict,stages,ground_truth
12994,HALF-TRUE,o,HALF-TRUE
12995,FALSE,o,FALSE
12996,FALSE,o,FALSE
12997,HALF-TRUE,o+r,FALSE
12998,FALSE,o,FALSE
12999,FALSE,o,FALSE
13000,FALSE,o,FALSE
13001,HALF-TRUE,o,FALSE
13002,FALSE,o,FALSE
13003,HALF-TRUE,o,HALF-TRUE
13004,FALSE,o,FALSE
13005,FALSE,o,FALSE
13006,HALF-TRUE,o,HALF-TRUE
13007,FALSE,o,FALSE
13008,FALSE,o,FALSE
13009,FALSE,o,FALSE
13010,FALSE,o,FALSE
13011,FALSE,o,FALSE
13012,FALSE,o,FALSE
13013,HALF-TRUE,o,FALSE
13014,HALF-TRUE,o+r,FALSE
13015,FALSE,o,FALSE
13016,FALSE,o,FALSE
13017,FALSE,o,FALSE
13018,FALSE,o,FALSE
13019,HALF-TRUE,o+r,HALF-TRUE
13020,HALF-TRUE,o,HALF-TRUE
13021,FALSE,o,FALSE
13022,FALSE,o,FALSE
13023,FALSE,o,FALSE
13024,HALF-TRUE,o+r,FALSE
13025,FALSE,o,FALSE
13026,FALSE,o,FALSE
13027,FALSE,o,FALSE
13028,TRUE,o,TRUE
13029,FALSE,o,FALSE
13030,HALF-TRUE,o,FALSE
13031,HALF-TRUE,o,FALSE
13032,FALSE,o,FALSE
13033,FALSE,o,FALSE
13034,HALF-TRUE,o,FALSE
13035,FALSE,o,HALF-TRUE
13036,HALF-TRUE,o,HALF-TRUE
13037,HALF-TRUE,o+r,HALF-TRUE
13038,FALSE,o,FALSE
13039,FALSE,o,FALSE
13040,FALSE,o,FALSE
13041,HALF-TRUE,o,HALF-TRUE
13042,HALF-TRUE,o,FALSE
13043,FALSE,o,FALSE
13044,FALSE,o,FALSE
13045,HALF-TRUE,o,FALSE
13046,FALSE,o,FALSE
13047,FALSE,o,FALSE
13048,FALSE,o,FALSE
13049,FALSE,o,FALSE
13050,FALSE,o,FALSE
13051,HALF-TRUE,o+r,FALSE
13052,FALSE,o,FALSE
13053,HALF-TRUE,o,FALSE
13058,HALF-TRUE,o,HALF-TRUE
13063,TRUE,o,HALF-TRUE
